,City,Country,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
417,rakitovo,bg,41.99,24.09,77.0,6.93,69.0,75.0
418,san vicente de canete,pe,-13.08,-76.38,61.85,7.4,83.0,41.0
419,barinas,ve,8.64,-70.23,77.69,5.1,90.0,54.0
420,champerico,gt,14.3,-91.92,84.2,6.93,54.0,90.0
421,saint-francois,gp,16.25,-61.27,86.0,18.34,70.0,40.0
422,bud,no,62.91,6.91,62.6,13.87,82.0,20.0
423,new plymouth,nz,-39.06,174.08,54.0,10.0,88.0,98.0
424,nova olimpia,br,-14.8,-57.29,85.07,3.4,31.0,0.0
425,zonguldak,tr,41.25,31.83,76.07,5.86,67.0,0.0
426,nong khae,th,14.34,100.87,80.6,5.82,83.0,20.0
427,punta arenas,cl,-53.16,-70.91,37.4,2.24,100.0,90.0
428,mahibadhoo,mv,3.78,72.97,84.35,10.27,76.0,100.0
429,dubbo,au,-32.25,148.6,32.0,5.82,92.0,90.0
430,dali,cn,25.6,100.24,60.41,1.48,99.0,100.0
431,hamilton,au,-37.74,142.02,46.01,18.07,81.0,15.0
432,panzhihua,cn,26.59,101.72,62.93,2.08,98.0,100.0
433,birao,cf,10.3,22.78,77.69,4.21,68.0,65.0
434,pasni,pk,25.26,63.48,81.47,3.11,83.0,67.0
436,nchelenge,zm,-9.35,28.74,65.99,7.87,48.0,47.0
437,gaoual,gn,11.75,-13.2,77.15,7.0,87.0,23.0
438,camacari,br,-12.7,-38.32,78.8,14.99,65.0,75.0
439,mindelheim,de,48.05,10.49,59.0,8.05,76.0,0.0
441,khash,ir,28.22,61.21,72.47,7.02,15.0,0.0
443,oudtshoorn,za,-33.59,22.2,50.0,2.24,93.0,0.0
445,christchurch,nz,-43.53,172.64,48.99,4.7,93.0,100.0
446,tiarei,pf,-17.53,-149.33,82.0,2.24,69.0,20.0
447,aktau,kz,43.65,51.16,73.4,6.71,78.0,40.0
449,houston,ca,54.4,-126.65,66.2,2.59,72.0,75.0
450,ulaanbaatar,mn,47.92,106.92,51.8,4.47,66.0,0.0
451,dubovskoye,ru,47.41,42.76,64.73,6.78,58.0,36.0
452,tabanan,id,-8.54,115.13,77.0,5.82,88.0,40.0
453,jinxiang,cn,35.07,116.31,68.51,4.14,80.0,61.0
455,wangqing,cn,43.31,129.76,55.19,3.91,89.0,99.0
456,havelock,us,34.88,-76.9,87.8,10.29,55.0,20.0
