,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
102,meadow lake,ca,,,,,,,
103,axim,gh,,,,,,,
104,vila velha,br,,,,,,,
105,albany,au,,,,,,,
106,tura,ru,,,,,,,
107,poum,nc,,,,,,,
108,cape town,za,,,,,,,
109,le port,re,,,,,,,
110,muriwai beach,nz,,,,,,,
111,saldanha,za,,,,,,,
112,sitka,us,,,,,,,
113,port lincoln,au,,,,,,,
114,den helder,nl,,,,,,,
115,novo aripuana,br,,,,,,,
116,puerto cabezas,ni,,,,,,,
117,upernavik,gl,,,,,,,
118,port elizabeth,za,,,,,,,
119,thai binh,vn,,,,,,,
120,yinchuan,cn,,,,,,,
121,guozhen,cn,,,,,,,
122,souillac,mu,,,,,,,
123,bolungarvik,is,,,,,,,
124,zhangjiakou,cn,,,,,,,
125,mahebourg,mu,,,,,,,
126,forbes,au,,,,,,,
127,saleaula,ws,,,,,,,
128,barentsburg,sj,,,,,,,
129,tabukiniberu,ki,,,,,,,
130,mehamn,no,,,,,,,
131,college,us,,,,,,,
132,illoqqortoormiut,gl,,,,,,,
133,tuktoyaktuk,ca,,,,,,,
134,havre,us,,,,,,,
135,nikolskoye,ru,,,,,,,
136,umm durman,sd,,,,,,,
137,hilo,us,,,,,,,
138,puerto ayora,ec,,,,,,,
139,marrakesh,ma,,,,,,,
140,maunabo,us,,,,,,,
141,sajanan,tn,,,,,,,
142,lagoa,pt,,,,,,,
143,muncar,id,,,,,,,
144,nabire,id,,,,,,,
145,sistranda,no,,,,,,,
146,samusu,ws,,,,,,,
147,tari,pg,,,,,,,
148,hithadhoo,mv,,,,,,,
149,timmins,ca,,,,,,,
150,henties bay,na,,,,,,,
151,ahipara,nz,,,,,,,
152,norman wells,ca,,,,,,,
153,bonthe,sl,,,,,,,
154,salamiyah,sy,,,,,,,
155,cuiluan,cn,,,,,,,
156,polewali,id,,,,,,,
157,tagusao,ph,,,,,,,
158,campuyo,ph,,,,,,,
159,vulcan,ca,,,,,,,
160,ketchikan,us,,,,,,,
161,ballina,au,,,,,,,
162,aparecida,br,,,,,,,
163,tazovskiy,ru,,,,,,,
164,voyvozh,ru,,,,,,,
165,amderma,ru,,,,,,,
166,tarudant,ma,,,,,,,
167,plettenberg bay,za,,,,,,,
168,esperance,au,,,,,,,
169,alberobello,it,,,,,,,
170,hamilton,bm,,,,,,,
171,ugoofaaru,mv,,,,,,,
172,narsaq,gl,,,,,,,
173,viedma,ar,,,,,,,
174,tiarei,pf,,,,,,,
175,mrirt,ma,,,,,,,
176,faanui,pf,,,,,,,
177,san felipe,mx,,,,,,,
178,baruun-urt,mn,,,,,,,
179,singarayakonda,in,,,,,,,
180,rafai,cf,,,,,,,
181,portland,au,,,,,,,
182,artigas,uy,,,,,,,
183,stokmarknes,no,,,,,,,
184,lasa,cn,,,,,,,
185,tommot,ru,,,,,,,
186,mlonggo,id,,,,,,,
187,ijaki,ki,,,,,,,
188,benjamin constant,br,,,,,,,
189,san patricio,mx,,,,,,,
190,prieska,za,,,,,,,
191,baykit,ru,,,,,,,
192,toliary,mg,,,,,,,
193,ayame,ci,,,,,,,
194,ryotsu,jp,,,,,,,
195,ciudad bolivar,ve,,,,,,,
196,bembereke,bj,,,,,,,
197,gigmoto,ph,,,,,,,
198,oliveira,br,,,,,,,
199,porto novo,cv,,,,,,,
200,cherskiy,ru,,,,,,,
201,yarada,in,,,,,,,
202,kiama,au,,,,,,,
203,taoudenni,ml,,,,,,,
204,moose factory,ca,,,,,,,
205,nalchiti,bd,,,,,,,
206,walvis bay,na,,,,,,,
207,gabu,gw,,,,,,,
208,tuy hoa,vn,,,,,,,
209,grand baie,mu,,,,,,,
210,santa rosa,ar,,,,,,,
211,kichera,ru,,,,,,,
212,sacalaz,ro,,,,,,,
213,datong,cn,,,,,,,
214,tsihombe,mg,,,,,,,
215,kiunga,pg,,,,,,,
216,ardrossan,gb,,,,,,,
217,balaipungut,id,,,,,,,
218,nouadhibou,mr,,,,,,,
219,bilibino,ru,,,,,,,
220,carutapera,br,,,,,,,
221,presidencia roque saenz pena,ar,,,,,,,
222,iaciara,br,,,,,,,
223,kunigal,in,,,,,,,
224,san policarpo,ph,,,,,,,
225,yining,cn,,,,,,,
226,shamkhal,ru,,,,,,,
227,chuy,uy,,,,,,,
228,katsuura,jp,,,,,,,
229,semnan,ir,,,,,,,
230,sept-iles,ca,,,,,,,
231,maracacume,br,,,,,,,
232,uk,ru,,,,,,,
233,padang,id,,,,,,,
234,saint-philippe,re,,,,,,,
235,pamanukan,id,,,,,,,
236,san cristobal,ec,,,,,,,
237,komsomolskiy,ru,,,,,,,
238,guerrero negro,mx,,,,,,,
239,nizwa,om,,,,,,,
240,gat,ly,,,,,,,
241,arlit,ne,,,,,,,
242,grindavik,is,,,,,,,
243,saint-augustin,ca,,,,,,,
244,sao paulo de olivenca,br,,,,,,,
245,ivdel,ru,,,,,,,
246,manokwari,id,,,,,,,
247,satitoa,ws,,,,,,,
248,potosi,bo,,,,,,,
249,khonuu,ru,,,,,,,
250,adrar,dz,,,,,,,
251,prudy,ru,,,,,,,
252,orcopampa,pe,,,,,,,
253,attawapiskat,ca,,,,,,,
254,sao felix do xingu,br,,,,,,,
255,isangel,vu,,,,,,,
256,phangnga,th,,,,,,,
257,severo-kurilsk,ru,,,,,,,
258,antalaha,mg,,,,,,,
259,udachnyy,ru,,,,,,,
260,nara,ml,,,,,,,
261,kautokeino,no,,,,,,,
262,junction city,us,,,,,,,
263,elizabeth city,us,,,,,,,
264,vestmannaeyjar,is,,,,,,,
265,mayumba,ga,,,,,,,
266,haapu,pf,,,,,,,
267,bereda,so,,,,,,,
268,manono,cd,,,,,,,
269,wahran,dz,,,,,,,
270,umea,se,,,,,,,
271,port moresby,pg,,,,,,,
272,provideniya,ru,,,,,,,
273,karaul,ru,,,,,,,
274,mayo,ca,,,,,,,
275,kailua,us,,,,,,,
276,skibbereen,ie,,,,,,,
277,coquimbo,cl,,,,,,,
278,nizhneyansk,ru,,,,,,,
279,virginia beach,us,,,,,,,
280,herat,af,,,,,,,
281,hambantota,lk,,,,,,,
282,atar,mr,,,,,,,
283,dhidhdhoo,mv,,,,,,,
284,rungata,ki,,,,,,,
285,bambous virieux,mu,,,,,,,
286,necochea,ar,,,,,,,
287,smithers,ca,,,,,,,
288,chiang kham,th,,,,,,,
289,mogadishu,so,,,,,,,
290,swan hill,au,,,,,,,
291,rawson,ar,,,,,,,
292,valdivia,cl,,,,,,,
293,belyy yar,ru,,,,,,,
294,namibe,ao,,,,,,,
295,sokoni,tz,,,,,,,
296,cockburn town,bs,,,,,,,
297,mpika,zm,,,,,,,
298,lephepe,bw,,,,,,,
299,sobolevo,ru,,,,,,,
300,mangrol,in,,,,,,,
301,vardo,no,,,,,,,
302,umzimvubu,za,,,,,,,
303,pemba,mz,,,,,,,
304,sorong,id,,,,,,,
305,nanakuli,us,,,,,,,
306,buala,sb,,,,,,,
307,cockburn harbour,tc,,,,,,,
308,weinan,cn,,,,,,,
309,agsu,az,,,,,,,
310,mocambique,mz,,,,,,,
311,kahului,us,,,,,,,
312,paamiut,gl,,,,,,,
313,lavrentiya,ru,,,,,,,
314,kuching,my,,,,,,,
315,puri,in,,,,,,,
316,kavieng,pg,,,,,,,
317,ternate,id,,,,,,,
318,gannan,cn,,,,,,,
319,puerto del rosario,es,,,,,,,
320,raudeberg,no,,,,,,,
321,chapeco,br,,,,,,,
322,ribeira grande,pt,,,,,,,
323,griffith,au,,,,,,,
324,darhan,mn,,,,,,,
325,xining,cn,,,,,,,
326,caravelas,br,,,,,,,
327,broken hill,au,,,,,,,
328,kiruna,se,,,,,,,
329,inhambane,mz,,,,,,,
330,hun,ly,,,,,,,
331,muswellbrook,au,,,,,,,
332,sawtell,au,,,,,,,
333,kodiak,us,,,,,,,
334,vaitupu,wf,,,,,,,
335,asau,tv,,,,,,,
336,cheremshan,ru,,,,,,,
337,dali,cn,,,,,,,
338,svetlogorsk,ru,,,,,,,
339,hvolsvollur,is,,,,,,,
340,gizo,sb,,,,,,,
341,petropavl,kz,,,,,,,
342,benguela,ao,,,,,,,
343,naberera,tz,,,,,,,
344,naze,jp,,,,,,,
345,mount isa,au,,,,,,,
346,dunedin,nz,,,,,,,
347,nioro,ml,,,,,,,
348,salinopolis,br,,,,,,,
349,beringovskiy,ru,,,,,,,
350,nyurba,ru,,,,,,,
351,teguise,es,,,,,,,
352,andenes,no,,,,,,,
353,cape elizabeth,us,,,,,,,
354,luderitz,na,,,,,,,
355,luanda,ao,,,,,,,
356,yabelo,et,,,,,,,
357,armidale,au,,,,,,,
358,qui nhon,vn,,,,,,,
359,hobyo,so,,,,,,,
360,tukrah,ly,,,,,,,
361,senanga,zm,,,,,,,
362,geraldton,au,,,,,,,
363,ferme-neuve,ca,,,,,,,
364,innisfail,au,,,,,,,
365,nizhniy tsasuchey,ru,,,,,,,
366,aviles,es,,,,,,,
367,tomatlan,mx,,,,,,,
368,borkop,dk,,,,,,,
369,saint-georges,gf,,,,,,,
370,llorente,ph,,,,,,,
371,cap malheureux,mu,,,,,,,
372,talnakh,ru,,,,,,,
373,baglan,af,,,,,,,
374,bengkulu,id,,,,,,,
375,kamenskoye,ru,,,,,,,
376,bud,no,,,,,,,
377,glenwood springs,us,,,,,,,
378,nexo,dk,,,,,,,
379,ayagoz,kz,,,,,,,
380,carnarvon,za,,,,,,,
381,petropavlovsk-kamchatskiy,ru,,,,,,,
382,angoram,pg,,,,,,,
383,waingapu,id,,,,,,,
384,kopervik,no,,,,,,,
385,ardakan,ir,,,,,,,
386,shestakovo,ru,,,,,,,
387,santa quiteria,br,,,,,,,
388,san quintin,mx,,,,,,,
389,marquette,us,,,,,,,
390,rosignol,gy,,,,,,,
391,port-gentil,ga,,,,,,,
392,rexburg,us,,,,,,,
393,madang,pg,,,,,,,
394,pontal do parana,br,,,,,,,
395,paratinga,br,,,,,,,
396,falealupo,ws,,,,,,,
397,roald,no,,,,,,,
398,barawe,so,,,,,,,
399,luganville,vu,,,,,,,
400,anadyr,ru,,,,,,,
401,aksarka,ru,,,,,,,
402,mezen,ru,,,,,,,
403,katsiveli,ua,,,,,,,
404,iqaluit,ca,,,,,,,
405,verkhniye achaluki,ru,,,,,,,
406,banda aceh,id,,,,,,,
407,vanimo,pg,,,,,,,
408,karpathos,gr,,,,,,,
409,ulcinj,me,,,,,,,
410,yeniseysk,ru,,,,,,,
411,nome,us,,,,,,,
412,vawkavysk,by,,,,,,,
413,cervo,es,,,,,,,
414,sao filipe,cv,,,,,,,
415,cabo rojo,us,,,,,,,
416,bafq,ir,,,,,,,
417,samarai,pg,,,,,,,
418,mabaruma,gy,,,,,,,
419,opuwo,na,,,,,,,
420,meulaboh,id,,,,,,,
421,gonen,tr,,,,,,,
422,fortuna,us,,,,,,,
423,hasaki,jp,,,,,,,
424,saint george,bm,,,,,,,
425,flinders,au,,,,,,,
426,kinshasa,cd,,,,,,,
427,ellisras,za,,,,,,,
428,yumen,cn,,,,,,,
429,ambilobe,mg,,,,,,,
430,stornoway,gb,,,,,,,
431,lumby,ca,,,,,,,
432,pahasu,in,,,,,,,
433,bermejo,bo,,,,,,,
434,okha,ru,,,,,,,
435,larsnes,no,,,,,,,
436,paralia,gr,,,,,,,
437,harper,lr,,,,,,,
438,ust-omchug,ru,,,,,,,
439,luang prabang,la,,,,,,,
440,chute-aux-outardes,ca,,,,,,,
441,richards bay,za,,,,,,,
442,inirida,co,,,,,,,
443,belle glade,us,,,,,,,
444,tasiilaq,gl,,,,,,,
445,contamana,pe,,,,,,,
446,brisbane,au,,,,,,,
447,conselheiro pena,br,,,,,,,
448,tautira,pf,,,,,,,
449,russell,nz,,,,,,,
450,port hedland,au,,,,,,,
451,mergui,mm,,,,,,,
452,alofi,nu,,,,,,,
453,dingle,ie,,,,,,,
454,sigmaringen,de,,,,,,,
455,boca do acre,br,,,,,,,
456,oriximina,br,,,,,,,
457,ust-koksa,ru,,,,,,,
458,codrington,ag,,,,,,,
459,oksfjord,no,,,,,,,
460,paciran,id,,,,,,,
461,torbay,ca,,,,,,,
462,sorvag,fo,,,,,,,
463,port blair,in,,,,,,,
464,sinnamary,gf,,,,,,,
465,kieta,pg,,,,,,,
466,bainbridge,us,,,,,,,
467,mecca,sa,,,,,,,
468,nemuro,jp,,,,,,,
469,north bend,us,,,,,,,
470,cody,us,,,,,,,
471,praia,cv,,,,,,,
472,palm coast,us,,,,,,,
473,santa cruz de la palma,es,,,,,,,
474,cairns,au,,,,,,,
475,pemangkat,id,,,,,,,
476,kyzyl-suu,kg,,,,,,,
477,ushtobe,kz,,,,,,,
478,eyl,so,,,,,,,
479,aksha,ru,,,,,,,
480,nkhotakota,mw,,,,,,,
481,acapulco,mx,,,,,,,
482,zambezi,zm,,,,,,,
483,marsa matruh,eg,,,,,,,
484,okhotsk,ru,,,,,,,
485,havre-saint-pierre,ca,,,,,,,
486,bousso,td,,,,,,,
487,ribeirao pires,br,,,,,,,
488,tilichiki,ru,,,,,,,
489,alta floresta,br,,,,,,,
490,victoria,sc,,,,,,,
491,ikongo,mg,,,,,,,
492,viligili,mv,,,,,,,
493,bandarbeyla,so,,,,,,,
494,magadan,ru,,,,,,,
495,americus,us,,,,,,,
496,verkhoyansk,ru,,,,,,,
497,anshun,cn,,,,,,,
498,juifang,tw,,,,,,,
499,quatre cocos,mu,,,,,,,
